state,average_listing_price,density
AR,240842.16666666666,57
AR,196337.75,57
AR,214111.58333333334,57
AR,265337.5,57
AR,111059.58333333333,57
AR,181044.70833333334,57
AR,173501.25,57
AR,205715.0,57
AR,220062.5,57
AR,324417.4166666667,57
AR,261791.58333333334,57
AR,276062.0833333333,57
AR,272203.1666666667,57
AR,269177.3333333333,57
AR,362640.3333333333,57
AR,401158.5833333333,57
AR,282116.3333333333,57
AZ,315948.5833333333,62
AZ,351205.875,62
AZ,666891.1666666666,62
AZ,241557.58333333334,62
AZ,391470.8333333333,62
AZ,471559.3333333333,62
AZ,374457.5833333333,62
AZ,252562.33333333334,62
AZ,609945.6666666666,62
AZ,254077.41666666666,62
AZ,444905.0833333333,62
AZ,325836.8333333333,62
AZ,421055.5833333333,62
AZ,667522.25,62
CA,634271.375,253
CA,494118.0833333333,253
CA,415185.6666666667,253
CA,736365.3333333334,253
CA,397564.3333333333,253
CA,514662.55555555556,253
CA,600881.5,253
CA,395914.8333333333,253
CA,504691.625,253
CA,444448.8333333333,253
CA,988089.5,253
CA,460071.9166666667,253
CA,536054.6666666666,253
CA,282165.9166666667,253
CA,507751.75,253
CA,854247.9166666666,253
CA,441001.8333333333,253
CA,454940.0833333333,253
CA,526293.6666666666,253
CA,436593.4166666667,253
CA,982363.1666666666,253
CA,344277.9166666667,253
CA,809424.0833333334,253
CA,491915.75,253
CA,291142.6666666667,253
CA,514894.4583333333,253
CA,468640.8333333333,253
CA,2069094.4166666667,253
CA,392492.0,253
CA,2966528.0833333335,253
CA,434902.0833333333,253
CA,402621.75,253
CA,2160202.4166666665,253
CA,728558.6666666666,253
CA,825360.0,253
CA,1255854.25,253
CA,620418.4166666666,253
CA,449766.3333333333,253
CA,1220999.4166666667,253
CA,2313969.75,253
CA,580546.5,253
CA,550340.0833333334,253
CA,1367370.0833333333,253
CA,1190427.8333333333,253
CA,1728514.5833333333,253
CA,987790.5,253
CA,531553.5,253
CA,2764113.9166666665,253
CA,1096920.8333333333,253
CA,1721826.9166666667,253
CA,1565630.9166666667,253
CA,2140558.6666666665,253
CO,463177.4081632653,55
CO,289009.6785714286,55
CO,306091.7361111111,55
CO,248012.75,55
CO,305750.5,55
CO,751909.4166666666,55
CO,1189051.638888889,55
CO,268275.6111111111,55
CO,924093.75,55
CO,763862.75,55
CO,1249622.9166666667,55
CO,243372.0,55
CO,478712.4166666667,55
CO,429927.5416666667,55
CO,5082920.75,55
CO,565976.2777777778,55
CO,888453.0,55
CO,288512.625,55
CO,610558.25,55
CO,493646.5,55
CO,430224.75,55
CO,799601.1666666666,55
CO,1828784.0,55
CO,564877.6666666666,55
CO,551178.25,55
CO,659330.0,55
CO,1102640.4166666667,55
CO,361760.25,55
CO,497956.0833333333,55
CO,559452.5,55
CO,536703.1666666666,55
CO,860054.8333333334,55
CO,456029.6666666667,55
CO,997815.5,55
CO,696260.0,55
CO,633384.6666666666,55
CO,666882.1666666666,55
CO,695893.0,55
CT,644535.8333333334,744
CT,277952.6666666667,744
CT,300467.8333333333,744
CT,399019.9166666667,744
CT,442800.25,744
CT,317790.25,744
CT,356715.5,744
CT,1361181.25,744
DC,970809.75,11294
DE,501413.0,508
DE,280626.6666666667,508
DE,335254.1666666667,508
FL,191845.08333333334,401
FL,311911.6666666667,401
FL,226969.75,401
FL,398550.4583333333,401
FL,301404.0833333333,401
FL,370637.2916666667,401
FL,269927.1666666667,401
FL,373243.0,401
FL,314735.75,401
FL,339622.0833333333,401
FL,203691.66666666666,401
FL,277060.0,401
FL,317527.1666666667,401
FL,238541.05555555556,401
FL,433960.0,401
FL,303660.3333333333,401
FL,275811.9166666667,401
FL,317597.3333333333,401
FL,1082245.5,401
FL,827227.4166666666,401
FL,284160.0,401
FL,277577.75,401
FL,236730.16666666666,401
FL,288974.9166666667,401
FL,520167.8333333333,401
FL,439427.25,401
FL,919955.25,401
FL,534893.9166666666,401
FL,420934.75,401
FL,355227.05555555556,401
FL,281214.1666666667,401
FL,353849.4166666667,401
FL,852110.8333333334,401
FL,364034.25,401
FL,650285.0833333334,401
FL,354659.5833333333,401
FL,332786.25,401
FL,279179.6666666667,401
FL,371051.0833333333,401
FL,283280.9166666667,401
FL,291786.0,401
FL,537208.1666666666,401
FL,362516.1666666667,401
FL,391222.1666666667,401
FL,515130.0,401
FL,327147.1666666667,401
FL,397753.0,401
FL,281234.4166666667,401
FL,1117255.8333333333,401
FL,666160.8333333334,401
FL,509336.5,401
FL,355256.75,401
FL,1045806.5833333334,401
FL,419203.75,401
FL,407161.75,401
FL,525514.9166666666,401
FL,607694.0833333334,401
FL,474391.0,401
GA,163045.875,186
GA,151468.125,186
GA,255794.97222222222,186
GA,183833.83333333334,186
GA,217045.41666666666,186
GA,233895.125,186
GA,190167.08333333334,186
GA,234928.3829787234,186
GA,165292.80555555556,186
GA,187020.83333333334,186
GA,219080.75,186
GA,298463.75,186
GA,248282.5,186
GA,138881.16666666666,186
GA,159657.29166666666,186
GA,208429.13888888888,186
GA,174058.0,186
GA,155164.5,186
GA,173459.75,186
GA,256433.55555555556,186
GA,220124.66666666666,186
GA,258785.11111111112,186
GA,130455.75,186
GA,201512.22222222222,186
GA,278661.25,186
GA,178907.11666666667,186
GA,173232.41666666666,186
GA,147060.33333333334,186
GA,229770.25,186
GA,138070.16666666666,186
GA,406476.3333333333,186
GA,221932.16666666666,186
GA,135572.0,186
GA,744655.0833333334,186
GA,242236.91666666666,186
GA,159586.5,186
GA,272123.0833333333,186
GA,386530.8333333333,186
GA,160591.20833333334,186
GA,165010.20833333334,186
GA,236547.66666666666,186
GA,456428.75,186
GA,500699.9166666667,186
GA,124209.16666666667,186
GA,416139.75,186
GA,252694.08333333334,186
GA,303040.0833333333,186
GA,260341.80555555556,186
GA,279626.5416666667,186
GA,348747.3333333333,186
GA,388802.4166666667,186
GA,271922.5,186
GA,262524.30555555556,186
GA,226250.75,186
GA,362550.1666666667,186
GA,330352.75,186
GA,272121.9166666667,186
GA,331653.8333333333,186
GA,397046.9166666667,186
GA,261708.0,186
GA,389480.5,186
GA,248844.41666666666,186
GA,380494.0833333333,186
GA,211312.16666666666,186
GA,483783.5,186
GA,194665.75,186
GA,264111.75,186
GA,326170.5,186
GA,279352.0833333333,186
GA,341258.4166666667,186
GA,296301.5,186
GA,236079.5,186
GA,205001.83333333334,186
GA,261155.08333333334,186
GA,649989.5833333334,186
GA,242685.16666666666,186
GA,277973.8333333333,186
GA,195936.75,186
GA,277018.5833333333,186
GA,763600.75,186
GA,388193.4166666667,186
GA,466627.5,186
GA,345050.1666666667,186
GA,254232.125,186
GA,123327.83333333333,186
GA,338042.25,186
GA,382933.0,186
GA,222864.83333333334,186
GA,262330.4166666667,186
GA,275334.5,186
GA,294813.9166666667,186
GA,225276.41666666666,186
GA,436182.3333333333,186
GA,338029.9166666667,186
GA,324815.6666666667,186
GA,276205.4166666667,186
GA,467713.3333333333,186
GA,193078.16666666666,186
GA,424925.0833333333,186
GA,189244.08333333334,186
GA,432856.9166666667,186
GA,272720.875,186
GA,285663.9166666667,186
GA,227938.83333333334,186
GA,341129.5,186
GA,479249.8333333333,186
GA,598967.75,186
GA,192495.41666666666,186
GA,427669.5,186
GA,453159.6666666667,186
GA,389391.8333333333,186
HI,1014865.4166666666,226
HI,2022722.3333333333,226
HI,2000211.0833333333,226
HI,1154389.6666666667,226
IA,188668.29166666666,57
IA,119536.33333333333,57
IA,124627.08333333333,57
IA,174689.0,57
IA,178901.83333333334,57
IA,141835.45833333334,57
IA,142093.75,57
IA,153719.02777777778,57
IA,156423.86111111112,57
IA,151266.25,57
IA,199729.7,57
IA,177200.25,57
IA,167503.93333333332,57
IA,163691.8,57
IA,162315.06666666668,57
IA,135944.41666666666,57
IA,162694.6875,57
IA,212836.10416666666,57
IA,232825.875,57
IA,189627.94444444444,57
IA,228802.83333333334,57
IA,201428.11111111112,57
IA,182213.83333333334,57
IA,161560.66666666666,57
IA,204732.0,57
IA,285438.25,57
IA,179063.33333333334,57
IA,187768.16666666666,57
IA,197995.16666666666,57
IA,226927.41666666666,57
IA,153576.66666666666,57
IA,118486.5,57
IA,155878.41666666666,57
IA,224730.25,57
IA,136026.91666666666,57
IA,331027.3333333333,57
IA,170650.16666666666,57
IA,232825.54166666666,57
IA,238079.0,57
IA,312243.4166666667,57
IA,374857.6666666667,57
IA,276941.4166666667,57
IA,212555.08333333334,57
IA,333303.5833333333,57
IA,269942.5833333333,57
IA,289540.0833333333,57
IA,299933.8333333333,57
ID,334730.1666666667,22
ID,378280.01666666666,22
ID,353922.98333333334,22
ID,368646.2083333333,22
ID,251141.125,22
ID,421581.3333333333,22
ID,381218.3333333333,22
ID,797394.75,22
ID,329098.3333333333,22
ID,419113.625,22
ID,341627.0,22
ID,715028.0833333334,22
ID,862498.6666666666,22
ID,319901.25,22
ID,421149.5833333333,22
ID,450252.0,22
ID,278271.4166666667,22
ID,328333.6666666667,22
ID,332962.25,22
ID,326168.0,22
ID,386757.25,22
ID,304905.1666666667,22
ID,315785.3333333333,22
ID,727088.3333333334,22
ID,338312.1666666667,22
ID,493182.3333333333,22
IL,153777.83333333334,230
IL,129928.125,230
IL,96631.66666666667,230
IL,149016.04166666666,230
IL,120557.66666666667,230
IL,88076.0,230
IL,116431.16666666667,230
IL,104160.35416666667,230
IL,134971.30555555556,230
IL,66537.5,230
IL,125068.89583333333,230
IL,141512.61111111112,230
IL,145104.08333333334,230
IL,145435.83333333334,230
IL,101068.33333333333,230
IL,110456.70833333333,230
IL,206695.0,230
IL,333370.5,230
IL,184654.33333333334,230
IL,165384.5,230
IL,152202.25,230
IL,124267.41666666667,230
IL,146237.95833333334,230
IL,135398.83333333334,230
IL,151311.72222222222,230
IL,121262.58333333333,230
IL,110474.33333333333,230
IL,138854.4375,230
IL,126277.91666666667,230
IL,136493.04166666666,230
IL,140250.08333333334,230
IL,177232.25,230
IL,118108.95833333333,230
IL,104310.91666666667,230
IL,162152.16666666666,230
IL,145058.25,230
IL,217542.0,230
IL,151825.16666666666,230
IL,208718.5,230
IL,167156.16666666666,230
IL,184228.91666666666,230
IL,139148.83333333334,230
IL,138782.66666666666,230
IL,111779.5,230
IL,222253.54166666666,230
IL,110274.08333333333,230
IL,167478.41666666666,230
IL,296407.9166666667,230
IL,200142.33333333334,230
IL,183821.75,230
IL,196811.04166666666,230
IL,145703.25,230
IL,289490.0833333333,230
IL,167839.75,230
IL,231718.75,230
IL,193309.08333333334,230
IL,174982.83333333334,230
IL,160167.33333333334,230
IL,187407.66666666666,230
IL,191234.0,230
IL,294040.9166666667,230
IL,321380.5,230
IL,167433.16666666666,230
IL,339168.9166666667,230
IL,385410.25,230
IL,585223.0833333334,230
IL,564064.75,230
IL,481107.5,230
IN,116472.33333333333,189
IN,138498.5,189
IN,183921.41666666666,189
IN,176967.0,189
IN,169250.16666666666,189
IN,173569.5,189
IN,126660.5,189
IN,104128.75,189
IN,227896.75,189
IN,99749.33333333333,189
IN,277548.3333333333,189
IN,260495.30555555556,189
IN,146353.5,189
IN,101201.08333333333,189
IN,131330.27777777778,189
IN,239809.58333333334,189
IN,142868.5,189
IN,178965.16666666666,189
IN,272917.8333333333,189
IN,132586.5,189
IN,202277.75,189
IN,202693.5,189
IN,143428.08333333334,189
IN,140017.5,189
IN,169769.16666666666,189
IN,223102.66666666666,189
IN,127053.125,189
IN,162855.25,189
IN,173394.88888888888,189
IN,198258.16666666666,189
IN,176944.08333333334,189
IN,214712.5,189
IN,189638.44444444444,189
IN,208341.58333333334,189
IN,118879.25,189
IN,212330.66666666666,189
IN,277090.3333333333,189
IN,246106.58333333334,189
IN,307593.3333333333,189
IN,147966.08333333334,189
IN,233170.75,189
IN,106452.33333333333,189
IN,192187.25,189
IN,336893.0833333333,189
IN,246905.0,189
IN,233393.58333333334,189
IN,119400.75,189
IN,190356.66666666666,189
IN,377234.5833333333,189
IN,110030.41666666667,189
IN,128728.08333333333,189
IN,287456.2083333333,189
IN,586542.1666666666,189
IN,285923.6666666667,189
IN,354473.9166666667,189
IN,336854.8333333333,189
IN,388620.0833333333,189
IN,142094.0,189
IN,144158.04166666666,189
IN,137567.75,189
IN,297064.4166666667,189
IN,384330.25,189
IN,287429.4166666667,189
IN,386110.3333333333,189
IN,318525.0,189
IN,254899.75,189
IN,340587.4166666667,189
IN,294315.9166666667,189
IN,267662.9166666667,189
IN,239951.83333333334,189
IN,181644.91666666666,189
IN,465464.0833333333,189
IN,255061.16666666666,189
IN,290121.3333333333,189
KS,111517.0,35
KS,118170.04137931035,35
KS,108848.38461538461,35
KS,148258.45,35
KS,132731.73611111112,35
KS,115664.42857142857,35
KS,189296.35211267605,35
KS,127287.2,35
KS,118839.58333333333,35
KS,148310.13888888888,35
KS,172031.41666666666,35
KS,111171.5,35
KS,102998.66666666667,35
KS,134146.66666666666,35
KS,119620.83333333333,35
KS,136944.25,35
KS,244140.16666666666,35
KS,138056.16666666666,35
KS,164228.375,35
KS,101033.66666666667,35
KS,116636.83333333333,35
KS,133682.25,35
KS,252421.08333333334,35
KS,207009.95833333334,35
KS,135684.20833333334,35
KS,141031.375,35
KS,196856.41666666666,35
KS,187692.20833333334,35
KS,148942.70833333334,35
KS,229190.41666666666,35
KS,299764.1666666667,35
KS,118538.58333333333,35
KS,173234.33333333334,35
KS,445466.6666666667,35
KS,170158.91666666666,35
KS,121669.91666666667,35
KS,199976.5,35
KS,141679.83333333334,35
KS,292937.8333333333,35
KS,309953.4166666667,35
KS,351331.9166666667,35
KS,178670.75,35
KS,276833.3333333333,35
KS,198515.16666666666,35
KS,548258.0,35
KY,87790.0,114
KY,210758.83333333334,114
KY,170850.25,114
KY,185709.33333333334,114
KY,156073.75,114
KY,170815.58333333334,114
KY,87901.33333333333,114
KY,152043.41666666666,114
KY,207134.08333333334,114
KY,167052.125,114
KY,105308.58333333333,114
KY,166496.14583333334,114
KY,196227.70833333334,114
KY,188987.58333333334,114
KY,163996.86111111112,114
KY,193218.0625,114
KY,152070.79166666666,114
KY,194865.04166666666,114
KY,263489.5833333333,114
KY,219661.20833333334,114
KY,205245.08333333334,114
KY,186184.29166666666,114
KY,215765.58333333334,114
KY,192502.11111111112,114
KY,177655.58333333334,114
KY,155860.0,114
KY,173483.41666666666,114
KY,195965.41666666666,114
KY,204182.16666666666,114
KY,306454.5,114
KY,212300.20833333334,114
KY,171894.33333333334,114
KY,151878.45833333334,114
KY,226244.58333333334,114
KY,276480.5833333333,114
KY,128843.66666666667,114
KY,166572.75,114
KY,164981.58333333334,114
KY,125928.66666666667,114
KY,380230.5833333333,114
KY,208076.75,114
KY,166528.0,114
KY,179787.5,114
KY,218964.83333333334,114
KY,204231.5,114
KY,163170.41666666666,114
KY,183358.375,114
KY,222258.16666666666,114
KY,611928.4166666666,114
KY,167974.16666666666,114
KY,189044.08333333334,114
KY,206257.75,114
KY,261777.20833333334,114
KY,167737.75,114
KY,223722.54166666666,114
KY,178943.33333333334,114
KY,205865.83333333334,114
KY,262581.3333333333,114
KY,277084.0,114
KY,250849.33333333334,114
KY,242752.83333333334,114
KY,487461.8333333333,114
KY,337393.7916666667,114
KY,217843.75,114
KY,226011.33333333334,114
KY,274030.3333333333,114
KY,230569.08333333334,114
KY,311931.0,114
KY,273009.75,114
KY,306057.3333333333,114
KY,298229.875,114
KY,238246.16666666666,114
KY,302556.75,114
KY,182195.41666666666,114
KY,435331.5833333333,114
KY,484261.8333333333,114
KY,353401.25,114
KY,316423.1666666667,114
KY,301799.0833333333,114
KY,437340.75,114
KY,362420.0833333333,114
LA,343086.3333333333,107
LA,358429.9166666667,107
LA,183870.83333333334,107
LA,190164.83333333334,107
LA,102999.125,107
LA,165403.58333333334,107
LA,165226.91666666666,107
LA,166872.91666666666,107
LA,195108.58333333334,107
LA,224912.58333333334,107
LA,318938.5833333333,107
LA,216148.19444444444,107
LA,106397.16666666667,107
LA,197765.375,107
LA,327609.2083333333,107
LA,177541.5,107
LA,127551.58333333333,107
LA,172209.33333333334,107
LA,205105.25,107
LA,195340.5,107
LA,377102.9583333333,107
LA,291298.8333333333,107
LA,145031.58333333334,107
LA,185855.36111111112,107
LA,211212.41666666666,107
LA,216775.625,107
LA,308373.5,107
LA,237978.08333333334,107
LA,182621.75,107
LA,179769.75,107
LA,237741.29166666666,107
LA,206001.66666666666,107
LA,236930.91666666666,107
LA,235311.08333333334,107
LA,292879.8333333333,107
LA,201027.41666666666,107
LA,182830.08333333334,107
LA,259365.58333333334,107
LA,278413.3333333333,107
LA,241216.41666666666,107
LA,300113.25,107
LA,200333.08333333334,107
LA,323223.4166666667,107
LA,252629.83333333334,107
LA,245572.41666666666,107
LA,230022.0,107
LA,372167.75,107
LA,307881.6666666667,107
LA,323310.6666666667,107
LA,334500.8333333333,107
LA,339565.5833333333,107
LA,499717.75,107
MA,336535.75,901
MA,631492.6666666666,901
MA,2493653.5,901
MA,421683.5,901
MA,4002040.6666666665,901
MA,428645.25,901
MA,966429.4166666666,901
MA,297845.6666666667,901
MA,654978.4166666666,901
MA,475299.6666666667,901
MA,808196.25,901
MA,961562.3333333334,901
MA,977263.0833333334,901
MA,1471327.6666666667,901
MD,459607.1666666667,636
MD,310697.4166666667,636
MD,561419.1666666666,636
MD,203835.33333333334,636
MD,250967.33333333334,636
MD,390548.5833333333,636
MD,650014.4166666666,636
MD,1038231.5,636
MD,133251.25,636
MD,243417.0,636
MD,351465.5,636
MD,369567.25,636
MD,281765.5,636
MD,374505.8333333333,636
MD,428747.1666666667,636
MD,433500.75,636
MD,439126.9166666667,636
MD,363776.75,636
MD,640746.75,636
MD,586690.5,636
MD,405329.8333333333,636
MD,367222.5833333333,636
MD,803103.75,636
MD,231378.58333333334,636
ME,196833.25,44
ME,132984.0,44
ME,208462.66666666666,44
ME,287109.5833333333,44
ME,273603.8333333333,44
ME,622168.1666666666,44
ME,195605.75,44
ME,438638.75,44
ME,528463.0833333334,44
ME,576452.0,44
ME,272494.9166666667,44
ME,434875.75,44
ME,534510.1666666666,44
ME,233308.33333333334,44
ME,523444.0,44
MI,301299.25,178
MI,152880.83333333334,178
MI,133877.08333333334,178
MI,170138.16666666666,178
MI,208496.02777777778,178
MI,445857.0833333333,178
MI,275529.3333333333,178
MI,111839.83333333333,178
MI,184177.25,178
MI,197877.66666666666,178
MI,221872.08333333334,178
MI,211268.41666666666,178
MI,205579.83333333334,178
MI,211612.41666666666,178
MI,182689.91666666666,178
MI,170387.83333333334,178
MI,365176.25,178
MI,215254.83333333334,178
MI,324567.6666666667,178
MI,247337.16666666666,178
MI,199372.33333333334,178
MI,181630.41666666666,178
MI,148905.08333333334,178
MI,248968.75,178
MI,168814.875,178
MI,338433.4166666667,178
MI,252075.08333333334,178
MI,364095.75,178
MI,219274.5,178
MI,319712.25,178
MI,129390.25,178
MI,433967.0,178
MI,280659.75,178
MI,200138.83333333334,178
MI,211227.25,178
MI,487853.9166666667,178
MI,575922.1666666666,178
MI,153092.5,178
MI,206750.33333333334,178
MI,667149.0833333334,178
MI,138013.33333333334,178
MI,191365.5,178
MI,213320.0,178
MI,198690.16666666666,178
MI,318126.1666666667,178
MI,253237.375,178
MI,202951.58333333334,178
MI,264972.4166666667,178
MI,423403.0833333333,178
MI,185019.66666666666,178
MI,224522.33333333334,178
MI,343359.0833333333,178
MI,268412.5833333333,178
MI,427666.0833333333,178
MI,238706.25,178
MI,225114.58333333334,178
MI,201150.91666666666,178
MI,513940.1666666667,178
MI,275107.5833333333,178
MI,209083.08333333334,178
MI,154780.5,178
MI,175042.25,178
MI,504444.8333333333,178
MI,230489.25,178
MI,366119.5833333333,178
MI,261622.83333333334,178
MI,313050.4166666667,178
MI,228696.0,178
MI,428895.25,178
MI,455542.5,178
MI,224507.5,178
MI,357389.8333333333,178
MI,490196.5,178
MI,271109.75,178
MI,218889.91666666666,178
MN,274906.25,71
MN,219583.77777777778,71
MN,165453.72222222222,71
MN,125783.91666666667,71
MN,185182.72916666666,71
MN,151586.61111111112,71
MN,148300.83333333334,71
MN,210817.875,71
MN,131827.83333333334,71
MN,142666.41666666666,71
MN,221565.13888888888,71
MN,195080.08333333334,71
MN,312548.1666666667,71
MN,155928.5,71
MN,196097.95833333334,71
MN,133132.83333333334,71
MN,181964.83333333334,71
MN,196214.41666666666,71
MN,193214.58333333334,71
MN,309155.5833333333,71
MN,218779.83333333334,71
MN,168393.25,71
MN,264707.19444444444,71
MN,175622.25,71
MN,250850.83333333334,71
MN,174538.83333333334,71
MN,284130.5833333333,71
MN,368630.4166666667,71
MN,159095.91666666666,71
MN,255626.58333333334,71
MN,312102.4166666667,71
MN,229896.29166666666,71
MN,180572.75,71
MN,205296.08333333334,71
MN,265290.25,71
MN,260243.75,71
MN,332099.5,71
MN,183219.0,71
MN,335563.25,71
MN,280398.875,71
MN,276527.0,71
MN,428969.8333333333,71
MN,238031.5,71
MN,300068.8333333333,71
MN,227400.5,71
MN,240876.58333333334,71
MN,318602.1666666667,71
MN,272958.5,71
MN,264935.75,71
MN,277976.0,71
MN,333968.75,71
MN,342390.75,71
MN,368721.9166666667,71
MN,336113.75,71
MN,401004.0833333333,71
MN,489363.25,71
MN,458014.1666666667,71
MN,482033.75,71
MN,426120.1666666667,71
MN,366918.75,71
MN,622796.0,71
MN,404262.9166666667,71
MO,223164.85,89
MO,185399.86666666667,89
MO,168450.08333333334,89
MO,404667.3333333333,89
MO,122991.16666666667,89
MO,158950.4375,89
MO,196532.5,89
MO,202139.5,89
MO,177191.875,89
MO,165730.25,89
MO,172886.75,89
MO,163891.98333333334,89
MO,159680.63888888888,89
MO,168774.72222222222,89
MO,168244.66666666666,89
MO,161332.08333333334,89
MO,124605.75,89
MO,194415.25,89
MO,184265.86111111112,89
MO,196655.41666666666,89
MO,258507.83333333334,89
MO,138131.66666666666,89
MO,156551.66666666666,89
MO,154125.10416666666,89
MO,143076.41666666666,89
MO,249499.0,89
MO,146335.66666666666,89
MO,154141.83333333334,89
MO,199534.08333333334,89
MO,193469.58333333334,89
MO,429532.2083333333,89
MO,222000.58333333334,89
MO,233868.0,89
MO,213616.95833333334,89
MO,255497.66666666666,89
MO,218685.16666666666,89
MO,224858.5,89
MO,182047.66666666666,89
MO,151651.41666666666,89
MO,211295.08333333334,89
MO,150333.91666666666,89
MO,160766.66666666666,89
MO,185921.33333333334,89
MO,281252.8125,89
MO,258574.58333333334,89
MO,296837.3333333333,89
MO,262776.5,89
MO,158569.83333333334,89
MO,178668.16666666666,89
MO,251903.25,89
MO,159564.41666666666,89
MO,350265.8333333333,89
MO,282770.75,89
MO,217631.66666666666,89
MO,395806.5833333333,89
MO,323240.6666666667,89
MO,198592.75,89
MO,218936.83333333334,89
MO,167052.16666666666,89
MO,435411.75,89
MO,302148.0833333333,89
MO,242936.83333333334,89
MO,252221.66666666666,89
MO,322571.3333333333,89
MO,354446.8333333333,89
MO,277843.1666666667,89
MO,422214.1666666667,89
MO,226338.83333333334,89
MS,79000.0,63
MS,137889.58333333334,63
MS,155422.33333333334,63
MS,319668.3333333333,63
MS,218133.29166666666,63
MS,121092.08333333333,63
MS,231914.45833333334,63
MS,117695.375,63
MS,173134.64583333334,63
MS,125318.0,63
MS,142964.16666666666,63
MS,174041.875,63
MS,175738.66666666666,63
MS,156786.70833333334,63
MS,232962.91666666666,63
MS,164550.83333333334,63
MS,221252.83333333334,63
MS,150598.25,63
MS,162250.125,63
MS,165561.16666666666,63
MS,185017.22222222222,63
MS,121223.33333333333,63
MS,142997.5,63
MS,208553.08333333334,63
MS,217409.25,63
MS,188660.44444444444,63
MS,194564.55555555556,63
MS,239150.16666666666,63
MS,186373.33333333334,63
MS,205332.75,63
MS,220725.16666666666,63
MS,185822.08333333334,63
MS,141930.41666666666,63
MS,232379.33333333334,63
MS,280572.0833333333,63
MS,243889.66666666666,63
MS,261913.0,63
MS,189447.91666666666,63
MS,196453.91666666666,63
MS,363861.9166666667,63
MS,194490.16666666666,63
MS,260580.5,63
MS,176155.0,63
MS,185962.58333333334,63
MS,287642.0833333333,63
MS,227110.66666666666,63
MS,315395.5833333333,63
MS,478642.5,63
MS,181601.08333333334,63
MS,263401.5833333333,63
MS,232361.0,63
MS,308446.1666666667,63
MS,216871.0,63
MS,290079.25,63
MS,289010.1666666667,63
MT,228052.62376237623,7
MT,330371.3141025641,7
MT,335125.71875,7
MT,291677.4375,7
MT,353509.8333333333,7
MT,461098.51666666666,7
MT,715996.5,7
MT,488991.75,7
MT,280451.3333333333,7
MT,848669.75,7
MT,647489.3888888889,7
MT,302906.25,7
MT,832011.625,7
MT,226721.08333333334,7
MT,371976.75,7
NC,413865.75,214
NC,212753.16666666666,214
NC,193406.5,214
NC,164070.58333333334,214
NC,451800.3333333333,214
NC,442722.3333333333,214
NC,181138.83333333334,214
NC,154307.83333333334,214
NC,276418.6666666667,214
NC,237656.75,214
NC,381910.9166666667,214
NC,141862.91666666666,214
NC,260132.625,214
NC,287342.3333333333,214
NC,276354.1666666667,214
NC,399253.8333333333,214
NC,268952.4583333333,214
NC,317340.625,214
NC,213381.58333333334,214
NC,307578.5416666667,214
NC,137692.41666666666,214
NC,304623.7916666667,214
NC,261642.75,214
NC,288781.3333333333,214
NC,361967.1666666667,214
NC,633321.0833333334,214
NC,483840.4166666667,214
NC,158299.83333333334,214
NC,296997.9166666667,214
NC,600881.4166666666,214
NC,574735.5555555555,214
NC,253061.83333333334,214
NC,349814.9166666667,214
NC,346336.6666666667,214
NC,385517.75,214
NC,374687.2916666667,214
NC,441206.1666666667,214
NC,452376.0833333333,214
